GEN|enclitic
AGR_C|suffix
AGR_C|suffix
AGR_DEF|suffix
AGR_DEF_M|suffix
AGR_N|suffix
AGR_PL|suffix
CMP|suffix
DEF_PL|suffix
DEF_PL_5|suffix
DEF_SG_1|suffix
DEF_SG_2/3|suffix
DEF_SG_4/5|suffix
IND|suffix
INF|suffix
ORD|suffix
PASS|suffix
PFV|suffix
PL_1|suffix
PL_2|suffix
PL_3|suffix
PL_4|suffix
PL_5a|suffix
PL_5b|suffix
PST|suffix
SG_1|suffix
SG_2|suffix
SUPL|suffix
CMPDR|suffixing interfix
